time,memory usage
1480450767.777972,38391808
1480450771.025158,38391808
1480450774.321346,38391808
1480450777.683539,38391808
1480450780.917724,38391808
1480450784.259915,38391808
1480450787.378093,38391808
1480450790.557275,38391808
1480450793.861464,38391808
1480450797.145652,38391808
1480450800.355835,38391808
1480450803.547018,38391808
1480450806.681197,38391808
1480450809.997387,38391808
1480450813.093564,38391808
1480450816.330749,38391808
1480450819.445927,38391808
1480450822.749116,38391808
1480450826.027304,38391808
1480450829.27649,38391808
1480450832.61368,38391808
1480450835.802863,38391808
1480450838.940042,38391808
1480450842.129225,38391808
1480450845.357409,38391808
1480450848.621596,38391808
1480450851.942786,38391808
1480450855.287977,38391808
1480450858.394155,38391808
1480450861.747347,38391808
1480450865.068537,38391808
1480450868.161714,38391808
1480450871.490904,38391808
1480450874.683087,38391808
1480450877.853268,38391808
1480450881.299465,38391808
1480450884.443645,38391808
1480450887.797837,38391808
1480450890.967018,38391808
1480450894.198203,38391808
1480450897.682402,38391808
1480450900.753578,38391808
1480450904.025765,38391808
1480450907.211947,38391808
1480450910.455133,38391808
1480450913.962333,38391808
1480450917.115514,38391808
1480450920.493707,38391808
1480450924.186918,38391808
1480450927.435104,38391808
1480450930.639287,38391808
1480450933.860471,38391808
1480450937.096657,38391808
1480450940.343842,38391808
1480450943.512024,38391808
1480450946.817213,38391808
1480450950.109401,38391808
1480450953.483594,38391808
1480450956.823785,38391808
1480450959.968965,38391808
1480450963.372159,38391808
1480450966.515339,38391808
1480450969.690521,38391808
1480450973.078715,38391808
1480450976.261897,38391808
1480450979.752096,38391808
1480450982.905277,38391808
1480450986.145462,38391808
1480450989.417649,38391808
1480450992.734839,38391808
1480450996.012026,38391808
1480450999.168207,38391808
1480451002.420393,38391808
1480451005.652578,38391808
1480451008.985768,38391808
1480451012.142949,38391808
1480451015.359133,38391808
1480451018.583317,38391808
1480451021.823503,38391808
1480451025.005685,38391808
1480451028.388878,38391808
1480451031.788073,38391808
1480451034.916252,38391808
1480451038.291445,38391808
1480451041.542631,38391808
1480451044.663809,38391808
1480451047.82199,38391808
1480451051.195183,38391808
1480451054.335362,38391808
1480451057.508544,38391808
1480451060.694726,38391808
1480451063.944912,38391808
1480451067.2281,38391808
1480451070.469285,38391808
1480451073.686469,38391808
1480451076.920654,38391808
1480451080.235844,38391808
1480451083.397024,38391808
1480451086.696213,38391808
1480451089.9664,38391808
1480451093.099579,38391808
1480451096.209757,38391808
1480451099.455943,38391808
1480451102.702129,38391808
1480451105.903312,38391808
1480451109.303506,38391808
1480451112.852709,38391808
1480451116.039892,38391808
1480451119.278077,38391808
1480451122.566265,38391808
1480451126.058465,38391808
1480451129.214645,38391808
1480451132.514834,38391808
1480451135.755019,38391808
1480451138.973203,38391808
1480451142.038379,38391808
1480451145.258563,38391808
1480451148.449745,38391808
1480451151.612926,38391808
1480451154.699103,38391808
1480451158.170301,38391808
1480451161.486491,38391808
1480451164.780679,38391808
1480451168.229877,38391808
1480451171.552067,38391808
1480451174.689246,38391808
1480451178.059439,38391808
1480451181.298624,38391808
1480451184.655816,38391808
1480451188.135015,38391808
1480451191.443204,38391808
1480451194.698391,38391808
1480451198.083584,38391808
1480451201.368772,38391808
1480451204.65496,38391808
1480451207.990151,38391808
